Name,Price
Back to Basics Hardcover Book~~Dog Training by Fabian,$10
"A Kennel Club Book for ""Bulldogs""",$8
"""The Labrador Retriever"" A Terra-Nova book with DVD included",$12
"Reference book for ""Yorkshire Terriers for Dummies""",$8
Training Your Dog~The Step by Step Manual by Volhard & Fisher,$10
"Skin & Coat Care For Your Cat, book compiled by Lowell Ackerman, DVM",$10
Penthouse Magazines,$1
Playboy Magazines,$1
National Encyclopedia,$40
Vintage 1952 World Book Encyclopedia Complete Set 19 Volumes,$90
Free books,$0
Harry Potter Full Set - Never Opened,$50
Honda CH80 Elite Service Manual,$25
"Technical Drawing Mitchell, Hill, Novak from Pearson",$50
Louis L'amour Book(Jubal Sackett,$10
"Automotive Technician Textbooks, Electrical and Braking",$30
137 Vintage Comic Books,$250
collection of Christian Books - Biblical Studies and Theology,$80
Welding Applications - Jeffus,$27
Indian Masks and Myths of the West Paperback 1974 Apollo Edition,$2
Vizcaya Museum Souvenir Book,$5
The girl on the moon and more 4 books.,$5
Shaking in the 60's,$50
Here's How Again!,$450
Cocktails de Paris,$500
Brian Wilson (Beach Boys Band) Autobiography,$10
"Jimmy Buffett's book ""A Salty Piece of Land with CD included",$15
Modern American Drinks,$500
"""The Diana Chronicles""~Well written book about Princess Diana's Life",$10
3 Young adult women's Romance novels,$15
"Camps and Cottages, First Paperback Edition 2001",$5
American Bar - Boissons Anglaises and Americaines,"$1,200"
Vintage 1976 Penthouse Magazine Lot (12) ENTIRE YEAR All Issues w/Cent,$125
1972 Playboy Magazine 12 Issues,$125
6 Vintage Hustler Magazines 1980s,$80
Doubt: A Parable Paperback by John Patrick Shanley,$4
IBLP Institute in Basic Life Principles Bill Gothard,$5
25 + years of Playboy magazines,$600
Needlepoint Antique Books,$5
I buy large comic book and graphic novel collections,"$10,000"
Books on Antiques,$10
"Cookbooks drink books entertainment, decor, Table books",$1
Norman Rockwell Book,$25
Bush Family Of Nooks,$422
Rapid Interpretation of EKG's + ECG Workout books,$50
educational flash cards,$6
Disney's children's book,$35
the Simpsons book,$15
Mystery Crime Series,$0
Linear algebra and Discrete Math Textbooks,$40
the complete middle school study guide,$10
the complete middle school study guide,$10
the complete middle school study guide,$10
Childcraft Library 1 thru 15,$55
Spanish Language Tape,$0
Anti fatigue Mats,$100
Vette Magazines,$10
FS – Joel Whitburn Top Country Singles 1944-1997 (Hardcover) (1998 Ed.,$20
FS – Joel Whitburn Top R&B/HipHop Singles 1942-2004 (Hardcover) (2004,$60
FS – Joel Whitburn Pop Hits 1940-1954 (Hardcover) (1994 Edition),$30
La Maison Hermes Koto Bolofo,$300
the complete step-by-step baking cookbook,$10
National Geographic Set 1988-2019,$186
Handyman & Electrical Repairs,$40
Good Housekeeping Test Kitchen Cookbook,$10
"2018 FXBB Harley Davidson service manual, softail owners manual",$60
"The Vernon Chronicles, The Lost Inner Secrets by Stephen Minch, Vol 1",$115
Roy Benson By Starlight,$165
Ed Nichols Rode a Horse - Cutbirth,$95
12-18 months of Texas Monthly,$0
"""The Book of Killowen"" by Erin Hart",$3
Encyclopaedia Britannica,$0
DSM IV TR Diagnostic book,$5
Cowboys - a book about the American cowboy,$9
Organizational management and leader ship a Christian perspective,$120
The Expanse series,$100
Medical Nurse Practitioner,$5
THE FINAL JOURNEY TO THE CENTER OF THE EARTH Autographed 1st Edition,$124
Mosby's Paramedic Textbook,$30
How Children Develop,$20
HOOVER DIES NEWSPAPER,$10
"Transformer Engineering: A Treatise on the Theory, Operation & ...",$100
Mother Goose Rhymes - 1985 Children's Book,$8
1985 Zebra Nursery Rhyme Books - $10 each,$0
Christmas Is a Time of Giving - 1961 Book by Joan Walsh Anglund,$20
1952 & 1953 Rand McNally Children's Books - $10 each,$0
The Amazing Story of Noah's Ark (1988 Hardback Comic Strip Version),$12
Gifted to Lead - The Art of Leading as a Woman in the Church,$8
"Disney's ""Monsters, Inc."" children's book",$5
Dinosaur A-Z book for the kids who really love dinosaurs!!!,$7
"1996 children's book ""Howard & the Sitter Surprise""",$8
1962 World Book Encyclopedia Set,$100
"""Babysitter's Guide"" by Dennis the Menace-1st Edition",$10
"The Treasury of David, Volumes 1, 2 and 3",$59
Monarchy Books,$3
Sherlock Holmes Books,$3
Woodrow Wilson High School Yearbooks,$20
TEENS SEX AND CHOICES,$40
**Slim 4 Life Spiral Cookbook & Low-Fat Living Book,$0
Scoring Higher Iowa Tests of Basic Skills Grade 5,$10
Time Life Set - The Old West (Plus old west photos in frames),$50
Support Independent Book Stores,$0
Practice Test for the CogAT® Form 7 Level 12 (Grade 5*) Practice Test,$10
The Pulpit Commentary Complete 23 Volumes Hardcover 1980 Eerdmans RARE,$299
Louie L’Amour western stories,$10
Books for Expecting Mothers (2),$25
Principles of Anatomy & Physiology,$85
Chemistry 4th Edition Connect Access Code,$80
Collection of comic sci-fi horror mags,$0
14 Harvard Business Review Magazines HBR January 2002/February 2003,$14
Star Wars Darth Maul,$3
Alexis Lichine Guide to the Wines,$80
The Greatest Guitar Songbook with 100 songs by Hal Leonard,$15
Double Live Garth Brooks Piano/Vocals/Chords Musical Songbook,$15
"""Pomeranians"" a #1 best selling book by Beverly Pisano",$5
12 different Autobiographies of Famous People,$30
"My Story, My Song by Lucimarian Roberts with Robin Roberts",$8
"Vol One Comic Book ""The League of Extraordinary Gentlemen""",$15
To Kill a Mockingbird,$5
Gardening in Hanging Baskets booklet from 1973 with illustrations,$7
The People Magazine Puzzler Goes Hollywood- Brand New,$8
Classical & Teaching Piano Sheet Music,$1
Violin big book of Disney songs,$5
PLAYBOY Magazine Collection,"$4,000"
The Beatles Unseen Archives,$25
"Briggs & Stratton, Repair Manual for Single Cylinder 4- Cycle Engines",$25
"WANTED-Comic Collectors- in search of , selling comics in large bulk",$1
Original dr Suess books,"$1,234,567"
Educational & Leisure Youth Books,$5
